symbol,timeframe,strategy,trades,win_rate_pct,return_pct,max_dd_pct,sharpe,final_balance
BTC/USDT:USDT,1h,SMA 20/50,35,42.9,0.32,0.46,0.19,1003.15
BTC/USDT:USDT,1h,Bollinger 20/2,49,32.7,0.21,0.63,0.12,1002.06
BTC/USDT:USDT,1h,RSI 14 30/70,55,56.4,-0.68,0.72,-0.39,993.16
BTC/USDT:USDT,4h,SMA 20/50,22,36.4,-0.19,0.48,-0.24,998.14
BTC/USDT:USDT,4h,Bollinger 20/2,31,29.0,-0.4,0.89,-0.4,996.04
BTC/USDT:USDT,4h,RSI 14 30/70,49,59.2,0.47,0.35,0.43,1004.69
BTC/USDT:USDT,1d,SMA 20/50,4,25.0,-0.04,0.24,-0.34,999.55
BTC/USDT:USDT,1d,Bollinger 20/2,7,42.9,0.2,0.34,0.66,1002.01
BTC/USDT:USDT,1d,RSI 14 30/70,10,20.0,-0.36,0.42,-1.79,996.36
ETH/USDT:USDT,1h,SMA 20/50,41,43.9,0.51,0.63,0.24,1005.09
ETH/USDT:USDT,1h,Bollinger 20/2,52,38.5,0.24,1.02,0.1,1002.36
ETH/USDT:USDT,1h,RSI 14 30/70,62,61.3,-0.39,0.76,-0.16,996.1
ETH/USDT:USDT,4h,SMA 20/50,24,37.5,0.2,0.38,0.24,1002.04
ETH/USDT:USDT,4h,Bollinger 20/2,42,35.7,-0.02,0.8,-0.01,999.83
ETH/USDT:USDT,4h,RSI 14 30/70,52,57.7,0.85,0.44,0.63,1008.52
ETH/USDT:USDT,1d,SMA 20/50,2,50.0,0.17,0.09,1.28,1001.66
ETH/USDT:USDT,1d,Bollinger 20/2,9,66.7,0.56,0.4,1.38,1005.63
ETH/USDT:USDT,1d,RSI 14 30/70,11,36.4,-0.12,0.32,-0.35,998.77
